time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1653401303519,116.88,15.82,1.93,x
1653401303523,116.89,15.81,1.92,x
1653401303528,116.9,15.81,1.92,x
1653401303533,116.91,15.81,1.91,x
1653401303539,116.92,15.81,1.91,x
1653401303543,116.94,15.82,1.91,x
1653401303550,116.96,15.82,1.9,x
1653401303553,116.99,15.83,1.9,x
1653401303558,117.01,15.84,1.89,x
1653401303562,117.03,15.86,1.89,x
1653401303566,117.06,15.87,1.88,x
1653401303571,117.08,15.87,1.88,x
1653401303577,117.1,15.88,1.87,x
1653401303590,117.13,15.88,1.86,x
1653401303591,117.16,15.87,1.86,x
1653401303593,117.19,15.87,1.85,x
1653401303595,117.21,15.86,1.85,x
1653401303601,117.24,15.85,1.85,x
1653401303604,117.27,15.83,1.84,x
1653401303610,117.3,15.82,1.83,x
1653401303615,117.32,15.8,1.82,x
1653401303619,117.35,15.78,1.8,x
1653401303624,117.36,15.77,1.78,x
1653401303630,117.38,15.75,1.76,x
1653401303634,117.39,15.74,1.74,x
1653401303639,117.39,15.72,1.72,x
1653401303643,117.39,15.7,1.7,x
1653401303648,117.39,15.68,1.69,x
1653401303655,117.39,15.66,1.68,x
1653401303658,117.38,15.64,1.67,x
1653401303663,117.37,15.63,1.67,x
1653401303670,117.36,15.61,1.67,x
1653401303673,117.35,15.6,1.67,x
1653401303677,117.35,15.59,1.68,x
1653401303698,117.34,15.58,1.69,x
1653401303699,117.35,15.58,1.7,x
1653401303699,117.34,15.58,1.69,x
1653401303703,117.35,15.59,1.7,x
1653401303705,117.36,15.59,1.7,x
1653401303713,117.36,15.6,1.71,x
1653401303716,117.37,15.61,1.71,x
1653401303718,117.37,15.62,1.71,x
1653401303721,117.38,15.62,1.72,x
1653401303725,117.38,15.63,1.72,x
1653401303734,117.38,15.63,1.73,x
1653401303737,117.39,15.64,1.73,x
1653401303739,117.39,15.64,1.74,x
1653401303743,117.4,15.64,1.74,x
1653401303749,117.41,15.63,1.74,x
1653401303754,117.41,15.63,1.75,x
1653401303759,117.42,15.62,1.75,x
1653401303767,117.43,15.61,1.76,x
1653401303768,117.43,15.59,1.77,x
1653401303773,117.44,15.58,1.78,x
1653401303778,117.44,15.56,1.78,x
1653401303783,117.45,15.55,1.79,x
1653401303789,117.45,15.53,1.8,x
1653401303793,117.45,15.52,1.81,x
1653401303799,117.45,15.51,1.82,x
1653401303802,117.45,15.5,1.83,x
1653401303810,117.45,15.49,1.84,x
1653401303812,117.44,15.49,1.85,x
1653401303822,117.44,15.49,1.86,x
1653401303828,117.44,15.5,1.87,x
1653401303829,117.44,15.5,1.88,x
1653401303833,117.44,15.51,1.88,x
1653401303836,117.44,15.52,1.89,x
1653401303845,117.44,15.53,1.89,x
1653401303846,117.45,15.55,1.9,x
1653401303850,117.45,15.57,1.9,x
1653401303855,117.46,15.59,1.91,x
1653401303860,117.47,15.61,1.92,x
1653401303865,117.48,15.62,1.92,x
1653401303869,117.49,15.64,1.93,x
1653401303874,117.5,15.65,1.94,x
1653401303879,117.51,15.65,1.95,x
1653401303885,117.52,15.65,1.96,x
1653401303889,117.53,15.64,1.97,x
1653401303894,117.54,15.62,1.98,x
1653401303898,117.54,15.6,1.98,x
1653401303903,117.55,15.58,1.99,x
1653401303908,117.55,15.55,2,x
1653401303913,117.54,15.51,2.01,x
1653401303919,117.54,15.48,2.02,x
1653401303922,117.54,15.44,2.03,x
1653401303929,117.53,15.41,2.04,x
1653401303932,117.53,15.38,2.05,x
1653401303937,117.52,15.35,2.07,x
1653401303942,117.51,15.33,2.08,x
1653401303947,117.51,15.31,2.1,x
1653401303962,117.5,15.3,2.13,x
1653401303962,117.5,15.3,2.12,x
1653401303963,117.5,15.29,2.15,x
1653401303967,117.5,15.29,2.16,x
1653401303970,117.49,15.29,2.17,x
1653401303978,117.49,15.28,2.18,x
1653401303980,117.49,15.28,2.18,x
1653401303987,117.48,15.27,2.19,x
1653401303991,117.47,15.26,2.19,x
1653401303993,117.45,15.25,2.2,x
1653401303998,117.44,15.24,2.2,x
1653401304003,117.42,15.24,2.21,x
1653401304008,117.4,15.24,2.22,x
1653401304014,117.38,15.25,2.23,x
1653401304019,117.36,15.27,2.25,x
1653401304023,117.34,15.29,2.26,x
1653401304028,117.33,15.31,2.27,x
1653401304032,117.31,15.34,2.27,x
1653401304044,117.3,15.37,2.28,x
1653401304045,117.29,15.4,2.28,x
1653401304051,117.27,15.43,2.29,x
1653401304053,117.26,15.46,2.29,x
1653401304057,117.25,15.49,2.29,x
1653401304066,117.23,15.52,2.28,x
1653401304068,117.22,15.55,2.28,x
1653401304075,117.21,15.57,2.28,x
1653401304078,117.19,15.59,2.27,x
1653401304082,117.18,15.61,2.26,x
1653401304093,117.17,15.62,2.25,x
1653401304093,117.15,15.63,2.24,x
1653401304095,117.14,15.64,2.23,x
1653401304100,117.13,15.65,2.22,x
1653401304104,117.12,15.66,2.2,x
1653401304109,117.11,15.67,2.19,x
1653401304114,117.1,15.69,2.18,x
1653401304119,117.09,15.7,2.18,x
1653401304124,117.07,15.72,2.17,x
1653401304128,117.06,15.74,2.17,x
1653401304134,117.04,15.77,2.16,x
1653401304138,117.03,15.79,2.16,x
1653401304144,117.01,15.82,2.17,x
1653401304150,116.99,15.85,2.17,x
1653401304153,116.98,15.87,2.17,x
1653401304157,116.96,15.9,2.18,x
1653401304163,116.94,15.92,2.19,x
1653401304168,116.92,15.94,2.2,x
1653401304172,116.9,15.95,2.21,x
1653401304178,116.87,15.97,2.23,x
1653401304182,116.85,15.98,2.25,x
1653401304187,116.83,15.99,2.27,x
1653401304192,116.81,15.99,2.29,x
1653401304196,116.79,16,2.31,x
1653401304201,116.78,16,2.34,x
1653401304206,116.76,16.01,2.36,x
1653401304211,116.75,16,2.39,x
1653401304216,116.73,15.99,2.41,x
1653401304228,116.72,15.98,2.44,x
1653401304229,116.7,15.95,2.46,x
1653401304234,116.69,15.92,2.49,x
1653401304238,116.67,15.89,2.51,x
1653401304242,116.66,15.86,2.54,x
1653401304260,116.64,15.78,2.58,x
1653401304260,116.65,15.82,2.56,x
1653401304261,116.64,15.75,2.6,x
1653401304262,116.64,15.71,2.61,x
1653401304263,116.64,15.68,2.62,x
1653401304268,116.64,15.64,2.63,x
1653401304274,116.64,15.61,2.64,x
1653401304278,116.64,15.58,2.64,x
1653401304282,116.65,15.55,2.65,x
1653401304288,116.66,15.53,2.65,x
1653401304292,116.67,15.5,2.65,x
1653401304297,116.67,15.48,2.65,x
1653401304301,116.68,15.47,2.65,x
1653401304306,116.69,15.45,2.65,x
1653401304311,116.7,15.44,2.65,x
1653401304316,116.7,15.44,2.64,x
1653401304321,116.71,15.44,2.64,x
1653401304325,116.72,15.44,2.63,x
1653401304331,116.72,15.44,2.63,x
1653401304336,116.73,15.45,2.62,x
1653401304341,116.73,15.46,2.61,x
1653401304351,116.73,15.47,2.6,x
1653401304352,116.73,15.48,2.59,x
1653401304355,116.72,15.5,2.58,x
1653401304361,116.71,15.51,2.57,x
1653401304364,116.7,15.53,2.57,x
1653401304370,116.69,15.54,2.56,x
1653401304375,116.68,15.56,2.56,x
1653401304378,116.66,15.57,2.55,x
1653401304383,116.65,15.59,2.56,x
1653401304388,116.63,15.6,2.56,x
1653401304393,116.61,15.62,2.56,x
1653401304398,116.59,15.64,2.57,x
1653401304404,116.58,15.65,2.58,x
1653401304411,116.56,15.67,2.59,x
1653401304413,116.54,15.69,2.61,x
1653401304418,116.52,15.7,2.62,x
1653401304422,116.5,15.72,2.64,x
1653401304428,116.48,15.73,2.65,x
1653401304432,116.46,15.75,2.67,x
1653401304437,116.44,15.76,2.69,x
1653401304442,116.42,15.76,2.71,x
1653401304445,116.4,15.77,2.73,x
1653401304451,116.39,15.77,2.75,x
1653401304456,116.37,15.77,2.77,x
1653401304460,116.36,15.76,2.78,x
1653401304475,116.34,15.75,2.8,x
1653401304475,116.32,15.73,2.81,x
1653401304479,116.3,15.7,2.82,x
1653401304480,116.28,15.67,2.83,x
1653401304496,116.25,15.64,2.84,x
1653401304497,116.22,15.61,2.85,x
1653401304499,116.19,15.58,2.87,x
1653401304501,116.15,15.54,2.88,x
1653401304510,116.12,15.51,2.9,x
1653401304514,116.09,15.48,2.93,x
1653401304521,116.07,15.46,2.95,x
1653401304524,116.05,15.43,2.97,x
1653401304525,116.03,15.4,2.99,x
1653401304530,116.01,15.38,3.01,x
1653401304534,115.99,15.36,3.03,x
1653401304541,115.98,15.33,3.04,x
1653401304543,115.97,15.31,3.05,x
1653401304547,115.96,15.29,3.06,x
1653401304551,115.96,15.28,3.05,x
1653401304556,115.95,15.26,3.05,x
1653401304561,115.95,15.24,3.03,x
1653401304566,115.95,15.22,3.02,x
1653401304571,115.95,15.2,3,x
1653401304576,115.94,15.18,2.99,x
1653401304581,115.93,15.17,2.97,x
1653401304586,115.92,15.15,2.96,x
1653401304590,115.91,15.14,2.95,x
1653401304594,115.89,15.13,2.94,x
1653401304600,115.88,15.12,2.93,x
1653401304604,115.86,15.11,2.92,x
1653401304610,115.85,15.1,2.91,x
1653401304614,115.83,15.09,2.91,x
1653401304619,115.81,15.08,2.9,x
1653401304624,115.79,15.06,2.9,x
1653401304629,115.77,15.05,2.89,x
1653401304634,115.74,15.03,2.89,x
1653401304638,115.73,15.02,2.89,x
1653401304643,115.71,15,2.89,x
1653401304649,115.69,14.98,2.89,x
1653401304653,115.68,14.96,2.88,x
1653401304658,115.66,14.94,2.88,x
1653401304662,115.65,14.91,2.88,x
1653401304671,115.64,14.89,2.88,x
1653401304675,115.63,14.87,2.88,x
1653401304678,115.61,14.85,2.89,x
1653401304683,115.6,14.84,2.89,x
1653401304686,115.6,14.84,2.9,x
1653401304691,115.59,14.83,2.9,x
1653401304696,115.58,14.83,2.91,x
1653401304701,115.57,14.84,2.92,x
1653401304705,115.56,14.84,2.92,x
1653401304710,115.54,14.84,2.93,x
1653401304715,115.53,14.84,2.94,x
1653401304720,115.52,14.84,2.94,x
1653401304724,115.5,14.84,2.95,x
1653401304729,115.49,14.84,2.96,x
1653401304734,115.47,14.84,2.97,x
1653401304740,115.46,14.85,2.98,x
1653401304744,115.46,14.85,2.99,x
1653401304749,115.45,14.85,3,x
1653401304766,115.44,14.85,3.01,x
1653401304767,115.43,14.86,3.02,x
1653401304768,115.43,14.86,3.04,x
1653401304770,115.42,14.86,3.06,x
1653401304775,115.42,14.86,3.07,x
1653401304781,115.41,14.85,3.09,x
1653401304784,115.41,14.85,3.1,x
1653401304793,115.41,14.84,3.12,x
1653401304795,115.41,14.84,3.13,x
1653401304797,115.41,14.83,3.14,x
1653401304801,115.42,14.83,3.15,x
1653401304805,115.42,14.83,3.16,x
1653401304811,115.43,14.83,3.16,x
1653401304815,115.44,14.83,3.17,x
1653401304821,115.44,14.84,3.17,x
1653401304825,115.45,14.84,3.18,x
1653401304829,115.46,14.85,3.18,x
1653401304836,115.46,14.86,3.18,x
1653401304842,115.47,14.86,3.18,x
1653401304845,115.47,14.86,3.18,x
1653401304850,115.47,14.86,3.18,x
1653401304853,115.47,14.86,3.18,x
1653401304859,115.47,14.85,3.18,x
1653401304868,115.47,14.84,3.18,x
1653401304869,115.47,14.83,3.18,x
1653401304876,115.46,14.81,3.19,x
1653401304880,115.46,14.8,3.19,x
1653401304885,115.45,14.78,3.21,x
1653401304890,115.44,14.76,3.22,x
1653401304897,115.44,14.75,3.24,x
1653401304900,115.43,14.74,3.25,x
1653401304902,115.43,14.73,3.26,x
1653401304908,115.43,14.72,3.28,x
1653401304913,115.43,14.71,3.29,x
1653401304920,115.43,14.7,3.3,x
1653401304924,115.43,14.7,3.31,x
1653401304928,115.43,14.7,3.32,x
1653401304932,115.44,14.69,3.33,x
1653401304936,115.44,14.69,3.33,x
1653401304940,115.45,14.69,3.33,x
1653401304946,115.45,14.68,3.34,x
1653401304958,115.45,14.67,3.34,x
1653401304959,115.45,14.67,3.34,x
1653401304980,115.45,14.66,3.34,x
1653401304982,115.45,14.65,3.34,x
1653401304984,115.45,14.64,3.34,x
