time,sensor_x0[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_y0[undefined],sensor_x[undefined],sensor_gamma[undefined],sensor_y[undefined],sensor_z0[undefined],sensor_z[undefined],label_activities_sitting
1652785664957.9,0.1,-0.7,0.1,0,0.4,0.2,7,0,6.9,x
1652785664974.6,0.1,-0.7,0.1,0,0.4,0.2,7,0,7,x
1652785664991.4,0.1,-0.8,1.1,0,0.3,-0.3,7,0,7,x
1652785665007.7,0,0,1.6,0,0.3,-0.5,7,0,7,x
1652785665024.4,0,0.2,0.6,0,0.3,-0.4,7.1,0,6.9,x
1652785665041.3,-0.1,0.2,0.6,0,0.3,-0.4,7.1,-0.1,6.9,x
1652785665057.8,-0.1,0,0.3,0,0.2,-0.1,7.1,0,6.9,x
1652785665074.4,-0.1,-0.1,1.2,0,0.3,1,7,0,7,x
1652785665091.7,0.1,0.7,-0.3,0,0.3,0.6,7,0,7,x
1652785665107.9,0,0.7,-0.3,0,0.2,0.6,7,0,7,x
1652785665124.3,-0.1,0.6,-2.2,0,0.2,1.5,7,0,6.9,x
1652785665141,0,-0.9,-4.7,0,0.4,2.1,7,-0.2,6.7,x
1652785665158.1,0.1,-0.9,-4.7,0,0.4,2.1,7,-0.2,6.7,x
1652785665174.5,0.1,-2.3,-5.1,0,0.4,1.6,7.1,-0.2,6.9,x
1652785665191.1,0,-3.4,0.1,0.1,0.4,0.4,7.1,0.1,7.1,x
1652785665208.4,0.1,-1.3,-1.4,-0.1,0.5,-0.3,7,0.3,7.2,x
1652785665224.3,0.1,-1.3,-1.4,-0.1,0.3,-0.3,7.1,0.1,6.9,x
1652785665240.9,-0.2,1.2,-4.7,0,0.3,-0.8,7.1,-0.1,6.9,x
1652785665257.6,-0.3,-1.9,-11.2,-0.2,0.1,1.9,6.9,-0.2,6.7,x
1652785665274.3,-0.3,-1.9,-11.2,-0.1,0.1,1.9,6.9,-0.1,6.7,x
1652785665290.9,0.1,-2.4,-12,0.1,0.6,3.1,7.2,0.2,7.2,x
1652785665311.6,0.3,1.1,-7.8,0.2,0.8,-0.1,7.2,0.3,7.2,x
1652785665324.2,0.3,3.7,-3.5,0,0.8,-2.3,7.1,0.2,7.1,x
1652785665340.9,0.2,3.7,-3.5,-0.1,0.5,-2.3,6.9,0.1,6.9,x
1652785665357.6,0,4,0,0,0.4,-3.3,7,-0.2,6.8,x
1652785665374.4,0,1.9,3,0,0.4,-3.2,7,-0.2,6.8,x
1652785665390.9,0.1,0.8,5.8,0.1,0.5,-3.1,7.1,0,6.9,x
1652785665407.7,0,0.5,4.3,0,0.4,-3.8,7.1,0,6.9,x
1652785665424.2,-0.1,1,0.8,0,0.3,-4.2,7.1,-0.1,6.8,x
1652785665441.2,-0.2,-0.2,-1.1,0,0.2,-3.7,7.1,-0.2,6.7,x
1652785665457.7,-0.2,-0.2,-1.1,0,0.1,-3.7,7,-0.3,6.7,x
1652785665474.2,-0.2,-2.5,1.1,-0.1,0.3,-1.1,7,0.1,7.1,x
