time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653397355864.3,72.4,57.1,4.7
1653397355881,68.6,57.2,8.2
1653397355897.7,61.3,57.3,14.3
1653397355914.3,54,56.7,18.9
1653397355931,50.2,56.1,20.9
1653397355947.6,42.1,54.9,24.7
1653397355964.3,33.6,53.9,28.3
1653397355981,29.4,53.5,30
1653397355997.6,20.8,52.9,33.6
1653397356014.4,12.3,52.2,36.6
1653397356030.9,8.3,51.8,37.6
1653397356047.7,1.1,50.7,38
1653397356064.3,355.3,49.6,36.8
1653397356081,352.7,49.2,35.7
1653397356097.7,348.1,48.5,33.5
1653397356114.3,344.1,48.2,31.4
1653397356131.1,342.3,48.2,30.3
1653397356147.8,339.2,48.4,27.9
1653397356164.4,337,48.5,25.3
1653397356181.1,336.2,48.6,23.9
1653397356197.8,335.1,49,21.5
1653397356214.5,334.5,49.8,19.5
1653397356233.6,334.4,50.3,18.6
1653397356256.5,335.2,52,16
1653397356269.2,335.8,52.5,15.2
1653397356285.2,337.5,53.3,13.6
1653397356298.7,338.6,53.7,12.9
1653397356316.2,341.3,54.2,11.7
1653397356358.8,345.1,54.3,11.5
1653397356364.4,345.6,54.5,11.6
1653397356381,346,54.6,11.8
1653397356397.7,346.9,55.2,13
1653397356419.7,348,56.1,15.8
1653397356431,348.4,56.7,17.5
1653397356448.7,348.7,58,20.3
1653397356466.4,348.3,59.2,22.4
1653397356481.1,347.8,59.8,23.5
1653397356497.8,346,60.7,26.8
1653397356514.5,343.5,61.4,31.5
1653397356531.1,342.1,61.8,33.9
1653397356547.8,339.3,62.6,38.1
1653397356564.4,336.6,63.3,41.7
1653397356581.1,335.2,63.6,43.6
1653397356597.8,332.7,64.4,47.4
1653397356614.3,331.1,65,50.4
1653397356631.1,330.4,65.4,51.9
1653397356647.7,329.6,66.3,53.9
1653397356664.3,329.2,67.3,55.6
1653397356681.2,329,67.7,56.3
1653397356697.6,328.5,68.4,57.9
1653397356714.3,326.6,69,61.5
1653397356730.9,324.7,69.4,64.4
1653397356747.7,319.4,70.2,71.9
1653397356781.1,309.3,70.9,84.9
1653397356797.7,306.1,71,88.9
1653397356897.7,109.3,108,-67.7
1653397356914.3,108.5,107.7,-66.6
1653397357108,332.3,99.5,65.3
1653397357147.7,319.1,105.5,72.9
1653397357181.1,309.2,109.4,78.5
1653397357197.7,305.2,111.9,79.5
1653397357214.4,304,113.1,79
1653397357231,303.1,114.3,78.3
1653397357247.6,301.7,116.3,76.2
1653397357264.4,298.5,119,74.1
1653397357281.1,296.9,119.8,74
1653397357297.7,293.1,121.5,73.8
1653397357314.3,289.8,123.1,73
1653397357331,288.4,123.9,72.3
1653397357347.7,285.7,125.4,70.4
1653397357364.3,283.1,126.7,68.3
1653397357381,281.8,127.2,67.4
1653397357397.7,278.8,128,65.7
1653397357414.4,276,128.3,64
1653397357431.1,274.8,128.3,62.9
1653397357447.7,273,127.7,60.5
1653397357464.3,271.5,126.8,57.8
1653397357481,270.9,126.4,56.3
1653397357497.6,270,125.7,52.8
1653397357514.3,269,125.1,49.4
1653397357530.9,268.3,124.8,47.8
1653397357547.6,266.8,124.3,44.5
1653397357564.3,265.3,123.8,41
1653397357581,264.7,123.5,39.1
1653397357597.6,263.5,122.6,34.9
1653397357614.2,261.5,121.6,31
1653397357630.9,259.6,121.1,29.5
1653397357647.6,254.3,120.4,28.2
1653397357664.2,247.6,119.7,29.2
1653397357681,244.5,119.1,30.5
1653397357697.6,238.9,117.2,33.6
1653397357714.3,234.5,114.7,36.6
1653397357731.1,232.7,113,38
1653397357747.6,229.4,109,41
1653397357764.3,226.7,104,43.7
1653397357781,226.6,101.1,43.9
1653397357797.8,232.8,94.9,38.2
1653397357814.3,192,87.8,79.8
1653397357832,210,84.7,62.3
1653397357847.6,215.5,78.4,57.4
1653397357864.3,215.6,72.4,57.6
1653397357881.1,215.8,69.6,57.5
1653397357897.7,217.2,64.3,56.2
1653397357914.2,219.1,59.1,54
1653397357930.9,219.8,56.5,52.9
1653397357947.7,220.7,51.3,50.9
1653397357964.2,221.2,46,49.5
1653397357980.9,221.2,43.2,49.1
1653397357997.5,220.7,37.8,49
1653397358014.2,219.4,32.6,49.7
1653397358030.9,218.5,30.2,50.1
1653397358047.6,216.9,26.1,51.2
1653397358064.3,215.2,23,53.1
1653397358080.9,214.2,21.7,54.3
1653397358097.6,212.5,19.3,56.7
1653397358114.2,211.3,17.3,58.3
1653397358130.9,211.1,16.4,58.7
1653397358147.5,210.9,14.8,59.3
1653397358164.2,210.5,13.7,59.6
1653397358180.8,210.3,13.4,59.7
1653397358197.6,209.9,12.9,60.4
1653397358214.2,209.3,12.5,62.1
1653397358231,208.8,12.4,63.3
1653397358247.6,207.7,12.2,66.4
1653397358264.2,206.8,12.1,70
1653397358281.3,206.6,12.1,71.8
1653397358297.6,206,12.3,75.3
1653397358314.3,205.5,13.2,78.4
1653397358330.9,205.4,13.7,79.9
1653397358347.5,204.9,14.4,83.4
1653397358364.2,203.4,14.7,88.8
1653397358380.9,22.6,165,-88.2
1653397358397.5,21.6,164.1,-82.3
1653397358414.2,22,162.5,-76.8
1653397358430.9,22.7,161.6,-74.1
1653397358447.6,24.2,160.1,-68.2
1653397358464.2,25.5,158.6,-61.6
1653397358480.9,26.2,157.6,-58.2
1653397358497.5,27.8,154.7,-52.1
1653397358514.4,29.5,150.4,-47
1653397358530.9,30.3,147.9,-44.6
1653397358547.5,31.9,142.6,-39.9
1653397358564.3,33.6,137.6,-34.9
1653397358580.9,34.5,135.4,-32.3
1653397358597.5,37,131.5,-27.6
1653397358614.4,39.9,127.6,-24.4
1653397358630.9,41,125.8,-23.1
1653397358648,41.8,122.5,-19.4
1653397358664.2,41.6,119.5,-14.6
1653397358680.8,41.7,117.9,-12.3
1653397358698,42.8,113.7,-8.8
1653397358714.9,43.9,111.2,-7.7
1653397358731.4,46.7,105.8,-6
1653397358748.1,47.7,101.4,-3.4
1653397358764.7,46.8,99.7,-1
1653397358781.5,37.2,97.2,10.7
1653397358797.9,12.8,96.3,36.3
1653397358814.5,1.8,97.1,47.6
1653397358831.6,355.3,100,54.9
1653397358848,0.4,103.5,52
1653397358864.6,6.7,107.2,48.5
1653397358881.4,9.7,109.4,46.9
1653397358900.3,15.1,114.2,44.2
1653397358914.6,17.3,116.7,43.1
1653397358931.5,20.8,121.3,41.7
1653397358947.9,24.1,125.5,40.9
1653397358965.7,27.4,129,40.2
1653397358981.2,29,130.3,39.9
1653397358997.9,31.5,131.9,39
1653397359014.8,32.6,132.3,38.6
1653397359031.1,34.4,132.3,37.3
1653397359047.9,36.1,131.5,34.7
1653397359064.6,36.7,131,33
1653397359081.4,37.7,129.4,29
1653397359097.9,38.7,127.1,23.9
1653397359114.5,39.5,125.6,20.7
1653397359131.1,42,121.7,12.2
1653397359147.9,46.8,116.6,0.7
1653397359164.5,50.6,113.9,-6.7
1653397359181.2,62.4,108.3,-26.5
1653397359198.1,87.7,103.3,-61.1
1653397359214.5,109.4,102.1,-88.1
1653397359243.4,350.8,68.8,13
1653397359265.1,5.1,55.3,-13
1653397359281.7,10.2,41.7,-26.9
1653397359297.9,10.5,32,-31.4
1653397359317.4,7.7,28.2,-27.7
1653397359331.2,5.8,27.5,-23.9
1653397359348,2,25.8,-15.8
1653397359364.5,0.5,24.5,-12.3
1653397359381.4,358.4,21.4,-7.1
1653397359397.8,357,18.1,-4.2
1653397359414.6,355.5,14.5,-2.3
1653397359431.1,354.6,12.7,-1.1
1653397359447.6,352.7,9.6,2.1
1653397359464.4,350.6,7.1,6.2
1653397359480.9,349.6,5.8,8.3
1653397359497.5,348.1,3.4,11.6
1653397359514.2,347.3,1.2,14.3
1653397359531,347,0.1,15.5
1653397359547.5,347.2,-1.9,18.5
1653397359564.5,348.7,-2.8,21.5
1653397359580.9,349.8,-2.9,22.8
1653397359597.5,352,-2.7,24.3
1653397359614.2,354.2,-2.4,23.5
1653397359630.8,355.4,-2.1,22.3
1653397359647.6,357.7,-0.4,18.5
1653397359664.2,359,2.8,14.1
1653397359680.8,359.1,4.8,11.9
1653397359697.5,358.8,9.4,7.2
1653397359714.3,358.8,14.5,1.8
1653397359730.8,359.2,17.3,-0.8
1653397359747.5,0.4,23.6,-5.6
1653397359764.2,2,30.9,-9.6
1653397359780.8,3.1,34.9,-11.5
1653397359797.5,6.2,44.2,-15.8
1653397359814.2,12.4,54.9,-22.8
1653397359830.9,17.8,60.2,-28.7
1653397359847.5,36.7,69.3,-49.2
1653397359864.3,71.5,73.4,-86.1
1653397359880.9,270.7,107.6,73.6
1653397359897.5,297,114,44.8
1653397359914.4,309.7,123.1,29.7
1653397359931,313.4,128.1,24.8
1653397359947.8,318.1,138.5,18
1653397359964.5,319.7,143.8,15.6
1653397359981.3,321.6,154.1,12.4
1653397359997.8,322.3,164.3,10.6
1653397360015.3,322.3,169.3,9.8
1653397360032.7,321.9,178.9,7.8
1653397360052.1,320.8,-172.2,5.5
1653397360064.4,320,-168.1,4.4
1653397360081.2,318,-160.9,2.4
1653397360098.5,315.3,-155.1,0.2
1653397360114.4,313.9,-152.6,-0.9
1653397360131,311.2,-148.6,-3.1
1653397360148,308.7,-145.6,-5.1
1653397360185.5,305.2,-143.8,-7.8
1653397360197.8,303.6,-144.6,-9
1653397360214.7,303.4,-145.6,-9.2
1653397360231.1,304.3,-149,-8.6
1653397360247.8,307.1,-154,-6.9
1653397360264.4,311.2,-160.3,-4.7
1653397360281.4,313.6,-164.1,-3.5
1653397360297.8,317.8,-172.4,-1.7
1653397360325.5,321.3,178.1,-0.9
1653397360331,322.9,172.8,-0.5
1653397360347.9,325.7,161.2,0.1
1653397360364.5,327,155,0.5
1653397360381.5,330.5,142.4,1.4
1653397360397.8,338,131.2,0.1
1653397360414.5,344.5,126.4,-3
1653397360431.5,5.2,119.4,-16.3
1653397360447.9,35.5,117.3,-38.5
1653397360464.4,51.2,118.6,-49.5
1653397360481.2,75.8,125.9,-64
1653397360497.8,92.1,135.8,-70.7
1653397360514.7,98.2,140.8,-72.5
1653397360531.4,108.4,149.4,-75.2
1653397360547.9,116.9,155.4,-77.4
1653397360564.5,120.6,157.4,-78.3
1653397360581.5,127.1,158.8,-80
1653397360598.1,130.1,158.6,-80.7
1653397360614.9,135.8,157.6,-81.2
1653397360631.5,140.9,156.5,-80.3
1653397360647.9,143.1,156.3,-79.4
1653397360664.5,146.7,155.9,-76.8
1653397360681.6,150.2,154.5,-73.8
1653397360698,153.9,151.2,-70.9
1653397360714.5,156.1,148.8,-69.5
1653397360731.1,160.8,142.8,-67.8
1653397360748,165.8,135.2,-67.6
1653397360764.5,168.3,130.8,-68.2
