time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285098454.1,319.9,28.4,-5.7,x
1664285098470.8,318.7,28.8,-5.3,x
1664285098487.9,317.6,28.6,-4.8,x
1664285098504.3,317.1,28.2,-4.7,x
1664285098520.9,316.2,27.5,-4.8,x
1664285098537.6,315.2,26.9,-5.1,x
1664285098554.1,314.7,26.9,-5.1,x
1664285098570.8,313.6,26.9,-5.1,x
1664285098587.6,312.7,27.1,-5.1,x
1664285098604.3,312.2,27.1,-5.2,x
1664285098620.7,311.2,27.1,-5.5,x
1664285098637.5,310.7,27.1,-5.6,x
1664285098654.9,309.7,27.2,-5.8,x
1664285098670.8,308.7,27.4,-5.8,x
1664285098687.5,308.3,27.4,-5.8,x
1664285098704.5,307.4,27.6,-5.9,x
1664285098720.8,306.7,27.7,-6,x
1664285098737.5,306.3,27.7,-6.1,x
1664285098754.7,305.6,27.7,-6.2,x
1664285098770.8,305.1,27.7,-6.2,x
1664285098787.4,304.6,27.8,-6.2,x
1664285098804.7,304.4,27.9,-6.3,x
1664285098820.8,304,28.1,-6.3,x
1664285098837.5,303.7,28.3,-6.4,x
1664285098854.1,303.5,28.4,-6.4,x
1664285098870.8,303.2,28.5,-6.4,x
1664285098887.5,303.1,28.6,-6.4,x
1664285098904.2,302.9,28.6,-6.5,x
1664285098920.7,302.7,28.5,-6.5,x
1664285098937.6,302.5,28.3,-6.6,x
1664285098968.2,302.3,28.2,-6.7,x
1664285098977,302.1,27.9,-6.7,x
1664285099004.3,302,27.1,-6.9,x
1664285099043.1,301.4,26.4,-8,x
1664285099093,300.7,28.3,-7.9,x
1664285099103.9,300.6,28.4,-7.9,x
1664285099120.6,300.4,28.1,-8,x
1664285099137.4,300.2,27.8,-8.1,x
1664285099154,300,27.4,-8.4,x
1664285099170.7,299.7,27.1,-8.5,x
1664285099187.5,299.5,27.1,-8.5,x
1664285099204.1,299,27.2,-8.3,x
1664285099220.8,298.4,27.4,-8,x
1664285099237.5,298,27.5,-7.9,x
1664285099254.1,297.3,27.7,-7.6,x
1664285099270.7,297,27.8,-7.5,x
1664285099287.6,296.3,28.1,-7.2,x
1664285099304.2,295.7,28.2,-6.9,x
1664285099320.7,294.9,28,-6.7,x
1664285099346.9,294,27.8,-6.6,x
1664285099370.6,292.4,27.6,-6.2,x
1664285099387.3,291,27.6,-5.8,x
1664285099404,290.3,27.7,-5.6,x
1664285099420.6,288.7,27.9,-5.2,x
1664285099437.3,287,28.3,-4.7,x
1664285099454,286.1,28.4,-4.5,x
1664285099470.8,284.3,28.7,-4,x
1664285099487.5,283.5,28.9,-3.8,x
1664285099505.8,281.7,29.3,-3.5,x
1664285099520.7,279.8,29.8,-3.3,x
1664285099537.5,277.7,30.4,-3.1,x
1664285099554.2,276.6,30.7,-3,x
1664285099570.8,274.3,31.2,-2.7,x
1664285099587.5,271.9,31.7,-2.3,x
1664285099605.1,270.6,31.9,-2.2,x
1664285099620.8,268,32.7,-2,x
1664285099637.5,266.6,33.1,-1.8,x
1664285099654.3,264.3,33.5,-0.6,x
1664285099670.8,262.3,33.2,1.1,x
1664285099688.4,260.3,33,2,x
1664285099704.8,259.2,33,2.2,x
1664285099720.9,256.5,33.3,2.4,x
1664285099737.5,255.1,33.6,2.6,x
1664285099754.1,252.6,33.9,3.1,x
1664285099770.9,250.2,33.9,3.5,x
1664285099787.5,249.1,33.8,3.4,x
1664285099804.3,246.9,33.6,3.1,x
1664285099820.8,244.6,33.4,2.7,x
1664285099837.5,243.6,33.4,2.5,x
1664285099854.1,241.5,33.3,2.3,x
1664285099870.7,239.6,33,2.1,x
1664285099887.4,237.7,32.5,1.6,x
1664285099904.2,236.8,32.2,1.2,x
1664285099920.7,235.2,31.7,0.7,x
1664285099937.5,233.6,31.7,0.4,x
1664285099954.1,232.9,31.8,0.3,x
