time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1664105328001,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105328017.6,0,0,0.1,0,2.2,9.6,0,0,0.1,x
1664105328034.3,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105328051,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105328067.7,0,0,0,0,2.2,9.6,0,0,0.1,x
1664105328086.6,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105328101,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105328117.5,0,0,0.1,0,2.2,9.6,0.1,0,0.1,x
1664105328134.1,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105328150.9,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105328167.6,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105328184.3,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105328201,0,0,0.1,0,2.2,9.6,0.1,-0.1,0,x
1664105328217.7,0,0,0,0,2.2,9.6,0,0.1,0,x
1664105328234.4,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
1664105328251,0,0,0.1,0,2.2,9.6,0.1,-0.1,0.1,x
1664105328274.3,0,0,0.1,0,2.2,9.6,0,0.1,0.1,x
1664105328286.8,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105328300.9,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105328317.5,0,0,0.1,0,2.2,9.6,0,0,0,x
1664105328334.2,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105328351.4,0,0,0.1,0,2.2,9.6,0.1,0.1,0,x
1664105328367.7,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105328384.3,0,0,0,0,2.2,9.6,0.1,0,0,x
1664105328401,0,0,0.1,0,2.2,9.6,0.1,0,0,x
1664105328417.5,0,0,0.1,0,2.2,9.6,0,0.1,0,x
1664105328434.3,0,0,0,0,2.2,9.6,0.1,0.1,0.1,x
