time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1655202434885.8,0,0,-0.1,-0.3,4.2,8.8,-1.1,-0.9,0,x
1655202434901.6,0.1,0,0,-0.2,4.2,9,-1.9,-1.8,0.1,x
1655202434918.5,0.1,0.1,0.1,-0.2,4.2,9,-1.5,-1.4,-1.7,x
1655202434934.9,0,0,0.1,-0.3,4.1,9,1.6,0.7,-2.1,x
1655202434951.6,0,0,0,-0.3,4.2,8.9,2.7,1.5,-2,x
1655202434968.4,-0.1,0,-0.2,-0.4,4.1,8.7,3,2.4,-1.5,x
1655202434995.4,-0.1,0,0,-0.5,4.1,8.8,-2.3,-1.3,0.1,x
1655202435001.8,-0.1,0,0,-0.5,4.1,8.8,-2.3,-1.3,0.1,x
1655202435018.2,0,0.1,0.1,-0.3,4.2,9,-2.8,-1.3,1.1,x
1655202435035,0.1,0.1,0.1,-0.3,4.2,9,-0.4,0.5,-0.1,x
1655202435051.6,0,0.1,0.1,-0.3,4.2,9,0.6,1.2,-0.7,x
1655202435068.8,-0.1,0.1,0,-0.4,4.2,8.9,1,0.3,-1.4,x
1655202435085.8,0,0.1,0,-0.3,4.2,8.9,0.3,-0.2,-0.9,x
1655202435101.6,0,0.1,0,-0.3,4.2,8.9,-0.1,0.5,-0.8,x
1655202435118.8,0,0.1,0,-0.3,4.2,8.9,0,0.5,-0.4,x
1655202435134.9,0.1,0.1,0,-0.2,4.2,8.9,0.2,1.1,0.5,x
1655202435152.2,0.1,0.1,0,-0.2,4.2,8.9,-0.1,1.4,0.5,x
1655202435179.8,-0.1,0,0,-0.4,4.2,8.9,-0.5,0.5,0,x
1655202435184.8,-0.1,0,0,-0.4,4.2,8.9,-0.5,0.5,0,x
1655202435201.7,-0.1,-0.1,0.1,-0.4,4.1,9,-0.9,-0.2,1.1,x
1655202435218,0.1,-0.1,0.1,-0.2,4.1,8.9,-0.7,-1.2,0.2,x
1655202435234.7,0.1,0,0,-0.2,4.1,8.8,0.7,-0.5,-0.2,x
1655202435251.5,0.1,-0.1,-0.1,-0.2,4.1,8.8,1.6,-0.5,-0.8,x
1655202435268.7,0,0,-0.2,-0.3,4.1,8.6,1.9,0.4,-1.5,x
1655202435285,0,0,-0.2,-0.3,4.2,8.7,-1.8,1.4,-1.1,x
1655202435301.4,-0.1,0,-0.1,-0.4,4.2,8.8,-3.8,0.4,-0.8,x
1655202435318.5,0,0,0.2,-0.3,4.2,9,-5.1,-2.5,0.6,x
1655202435334.9,0,0,0.2,-0.3,4.1,9.1,-2.2,-1.6,0,x
1655202435351.8,0,0,0.1,-0.3,4.1,9,-0.3,0.4,-0.6,x
1655202435369,-0.1,0,-0.1,-0.4,4.2,8.8,1.5,3.8,-1.4,x
1655202435385.4,-0.1,0,-0.2,-0.4,4.1,8.7,-0.1,1.2,-0.6,x
1655202435401.7,-0.1,0.1,-0.1,-0.4,4.2,8.8,-1.5,0.1,0,x
1655202435418.5,-0.1,0.1,0,-0.4,4.2,8.9,-2.5,0.1,0.7,x
1655202435434.9,-0.1,0.1,0,-0.4,4.2,8.9,-2.1,1.1,2.1,x
1655202435452,0,0.1,0.1,-0.3,4.2,9,-2.5,1.5,2.3,x
1655202435473.8,0.1,0.1,0.1,-0.3,4.2,9,-2.1,1.2,1.1,x
1655202435486.1,0,0.1,0.1,-0.3,4.2,9,-1.6,1.2,0.6,x
1655202435501.4,0,0,0.1,-0.4,4.1,9,-1.7,1.7,0.5,x
1655202435518.3,-0.1,0,0.2,-0.4,4.1,9.1,-1.7,1.7,1.3,x
1655202435537.2,0.1,0,0.1,-0.2,4.1,9,-1.2,0.4,1.7,x
1655202435553.7,0.2,0,0.1,-0.2,4.1,9,-0.3,0.2,0.7,x
1655202435569.1,0.1,0,0,-0.2,4.1,8.9,0,0.3,-0.3,x
1655202435585,0.1,0,0,-0.3,4.1,8.9,0.2,1.1,-0.9,x
1655202435601.4,0,0,0,-0.3,4.1,8.9,0.4,1.4,-1,x
1655202435618.5,0,0,-0.1,-0.3,4.1,8.8,-0.2,1.9,-0.4,x
1655202435635.2,0,0,0,-0.3,4.1,8.9,-2,0.9,-0.5,x
1655202435651.5,0,-0.1,0,-0.3,4,8.9,-2.1,0,-0.7,x
1655202435668.8,0.1,0,0.1,-0.2,4.1,9,-1.5,-0.1,-0.7,x
1655202435685,0,0,0,-0.3,4,8.9,0.2,0.8,-1.8,x
1655202435701.7,0,-0.1,-0.1,-0.3,4.1,8.8,0.5,1.3,-2.1,x
1655202435718.5,-0.1,0.1,0,-0.4,4.2,8.9,-2.2,1.7,-2.2,x
1655202435734.9,-0.1,0,0.1,-0.4,4.1,9,-3,-0.7,-1.6,x
1655202435751.6,-0.1,0,0.1,-0.4,4.1,9.1,-2.3,-1.7,-1.1,x
