time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_testing
1658434042256,0.12,-0.01,0.1,-2.28,-4.45,-8.3,-1.6,-0.61,2.84,x
1658434042273,0.04,-0.02,0.1,-2.37,-4.45,-8.31,-1.63,0.1,3.15,x
1658434042290,-0.04,0,0.14,-2.45,-4.42,-8.28,-1.57,1.53,2.17,x
1658434042306,-0.03,0.03,0.1,-2.44,-4.39,-8.32,-1.26,1.21,2.59,x
1658434042323,-0.05,0.04,0.1,-2.46,-4.37,-8.32,-1.34,1.34,1.93,x
1658434042340,-0.14,0.05,0.1,-2.55,-4.36,-8.32,-1.88,1.23,0.35,x
1658434042356,-0.1,0.05,0.09,-2.51,-4.36,-8.33,-1.56,1.27,-0.24,x
1658434042373,0.07,0.06,0,-2.33,-4.34,-8.42,-0.5,0.99,0.76,x
1658434042390,-0.01,0.09,0.09,-2.41,-4.31,-8.33,-0.48,0.48,0.94,x
1658434042406,-0.11,0.04,0.15,-2.51,-4.36,-8.27,-1.97,0.79,-0.54,x
1658434042423,-0.12,0,0.14,-2.52,-4.39,-8.29,-2.78,0.32,-1.16,x
1658434042440,-0.01,-0.01,-0.04,-2.41,-4.4,-8.47,-1.75,0.84,-0.51,x
1658434042456,0.08,0.02,-0.12,-2.32,-4.37,-8.56,-0.5,-0.61,0.29,x
1658434042473,-0.02,0.04,-0.05,-2.42,-4.35,-8.48,-0.66,-0.39,-0.32,x
1658434042490,-0.21,0.04,0.03,-2.61,-4.35,-8.41,-0.84,0.47,-2.42,x
1658434042506,-0.16,0.06,0.01,-2.55,-4.33,-8.43,-0.47,0.82,-2.84,x
1658434042523,-0.02,0.07,0.01,-2.41,-4.32,-8.43,-0.44,0.81,-2.72,x
1658434042540,0.01,0.04,0.05,-2.37,-4.35,-8.39,-0.15,0.22,-2.62,x
1658434042556,-0.02,0.02,0.08,-2.4,-4.37,-8.36,-0.32,0.01,-2.89,x
1658434042573,-0.08,0,0.13,-2.46,-4.39,-8.31,-0.62,0.51,-3.73,x
1658434042590,-0.07,0.02,0.16,-2.44,-4.37,-8.28,-1.43,1.09,-4.64,x
1658434042606,-0.08,0.01,0.17,-2.44,-4.38,-8.28,-1.78,2.2,-4.51,x
1658434042623,0.06,0.04,0.06,-2.29,-4.35,-8.38,-1.48,2.96,-3.27,x
1658434042640,0.05,0.04,0.05,-2.28,-4.35,-8.4,-1.1,3.18,-2.79,x
1658434042656,0.02,0.05,0.03,-2.3,-4.34,-8.43,-0.7,2.89,-3.77,x
1658434042673,-0.09,0.03,-0.05,-2.4,-4.36,-8.51,0.29,3.99,-4.69,x
1658434042690,-0.02,0.02,-0.06,-2.31,-4.38,-8.52,1.8,4.63,-4.41,x
1658434042706,-0.02,-0.04,-0.03,-2.3,-4.44,-8.49,1.54,4.51,-4.26,x
1658434042723,0,-0.02,0.01,-2.26,-4.43,-8.45,1.92,5.37,-4.28,x
1658434042740,0.09,0.02,-0.08,-2.15,-4.4,-8.55,3.88,6.95,-3.73,x
1658434042756,0.11,0.04,-0.04,-2.11,-4.4,-8.5,5.46,7.5,-2.99,x
1658434042773,-0.01,-0.04,0.08,-2.21,-4.48,-8.38,5.43,8.24,-3.25,x
1658434042790,-0.06,-0.01,0.26,-2.23,-4.47,-8.2,3.91,8.84,-3.66,x
1658434042806,-0.02,0,0.31,-2.17,-4.47,-8.15,1.93,8.5,-2.71,x
1658434042823,0.24,0.07,0.32,-1.88,-4.41,-8.14,-0.36,6.4,-0.93,x
1658434042840,0.18,0.05,0.3,-1.93,-4.42,-8.18,-3.25,3.23,-0.02,x
1658434042856,0.09,0.04,0.24,-2.01,-4.42,-8.24,-4.68,2.44,-0.49,x
1658434042873,-0.01,-0.02,0,-2.11,-4.47,-8.49,-3.83,2.7,-1.02,x
1658434042890,-0.11,-0.03,-0.09,-2.2,-4.48,-8.58,-1.54,3.06,-1.91,x
1658434042906,-0.13,-0.04,-0.05,-2.21,-4.48,-8.54,-2,3.33,-2.53,x
1658434042922,-0.02,0.01,-0.01,-2.09,-4.43,-8.5,-2.28,4.05,-2.66,x
1658434042940,0.07,0.06,-0.13,-1.98,-4.37,-8.63,-1.65,3.95,-1.11,x
1658434042956,0.05,0.08,-0.14,-1.99,-4.36,-8.65,-2.28,2.43,-1.37,x
1658434042973,-0.07,-0.01,-0.21,-2.11,-4.44,-8.72,-2.55,0.46,-2.61,x
1658434042990,-0.09,-0.03,-0.38,-2.12,-4.45,-8.89,-0.63,-2.03,-3.63,x
1658434043006,-0.12,-0.06,-0.39,-2.15,-4.49,-8.9,1.59,-2.64,-4.4,x
1658434043023,-0.18,-0.1,-0.29,-2.22,-4.54,-8.8,2.68,-1.86,-5.08,x
1658434043040,-0.08,-0.05,-0.23,-2.11,-4.5,-8.73,3.96,-2.49,-5.94,x
1658434043056,0,-0.16,-0.08,-2.04,-4.62,-8.58,4.37,-3.36,-4.16,x
1658434043073,0.16,0.05,-0.06,-1.88,-4.42,-8.54,3.92,-4.7,-3.02,x
1658434043090,0.08,0.07,-0.01,-1.97,-4.42,-8.49,2.49,-5,-1.12,x
1658434043106,0.22,0.13,0.03,-1.84,-4.36,-8.44,2.25,-6.59,-1.14,x
1658434043123,0.08,0.07,0.01,-1.99,-4.42,-8.46,2.56,-6.83,-0.11,x
1658434043140,-0.04,0.02,0.05,-2.13,-4.48,-8.41,2.73,-7.17,-1.21,x
1658434043156,-0.11,-0.01,0.05,-2.22,-4.51,-8.4,3.19,-6.32,-3,x
1658434043173,-0.07,0.06,0.03,-2.19,-4.46,-8.41,3.96,-4.81,-3.35,x
1658434043190,-0.04,0.02,0.04,-2.16,-4.51,-8.4,5.11,-4.38,-2.23,x
1658434043206,0.05,0.09,0.1,-2.08,-4.46,-8.33,4.49,-5.84,-1.73,x
1658434043223,-0.02,0.07,0.23,-2.16,-4.49,-8.19,2.65,-7,-1.31,x
1658434043239,0.03,0.1,0.24,-2.12,-4.46,-8.17,1.82,-6.74,-2.83,x
1658434043256,0.02,0.1,0.13,-2.15,-4.47,-8.27,1.92,-4.95,-2.5,x
1658434043273,0.11,0.02,0.09,-2.06,-4.56,-8.31,2.15,-5.15,-1.97,x
1658434043290,0.05,-0.02,0.1,-2.14,-4.61,-8.29,2.37,-4.86,-2.53,x
1658434043306,-0.05,-0.03,0.09,-2.24,-4.62,-8.29,2.5,-4.5,-3.43,x
1658434043323,-0.08,-0.03,0.1,-2.28,-4.63,-8.28,2.55,-5.78,-4.37,x
1658434043340,0.09,0.02,0.13,-2.13,-4.59,-8.24,1.92,-8.14,-3.4,x
1658434043356,0.18,0.02,0.09,-2.05,-4.59,-8.27,1.95,-8.1,-2.3,x
1658434043373,0.16,-0.02,0.02,-2.09,-4.64,-8.34,2.83,-6.49,-1.96,x
1658434043390,0.08,-0.03,0.04,-2.17,-4.66,-8.31,3.59,-4.76,-1.86,x
1658434043406,0.08,-0.04,0.09,-2.19,-4.68,-8.24,3.28,-5,-1.89,x
1658434043423,0.06,-0.05,0.19,-2.21,-4.7,-8.14,2.51,-5.07,-1.97,x
1658434043440,0.03,-0.08,0.25,-2.25,-4.73,-8.08,0.87,-3.62,-2.11,x
1658434043456,0,-0.08,0.22,-2.28,-4.74,-8.1,0.15,-2.37,-2.09,x
1658434043473,0.13,0.01,0.2,-2.16,-4.64,-8.12,-1.04,-2.49,-0.83,x
1658434043490,0.25,0,0.22,-2.05,-4.65,-8.11,-2.4,-2.62,1.18,x
1658434043506,0.19,0.01,0.18,-2.11,-4.64,-8.15,-2.26,-1.65,1.17,x
1658434043522,0.06,-0.01,0.08,-2.25,-4.65,-8.24,-1.58,-0.29,0.81,x
1658434043540,0.02,-0.02,0.05,-2.29,-4.66,-8.27,-0.02,0.46,0.35,x
1658434043556,0.01,-0.02,0.08,-2.3,-4.65,-8.25,-0.39,-0.04,0.36,x
1658434043573,-0.09,0,0.29,-2.39,-4.63,-8.04,-2.59,-1.02,-0.37,x
1658434043590,-0.02,0.03,0.25,-2.33,-4.59,-8.09,-5.08,-0.97,-0.5,x
1658434043606,0.1,0.04,0.13,-2.21,-4.57,-8.21,-4.77,-1.35,0.93,x
1658434043623,0.04,0.04,-0.02,-2.28,-4.56,-8.36,-4.96,-2.12,1.08,x
1658434043640,-0.1,0,0.04,-2.43,-4.59,-8.31,-6.18,-2.89,-0.32,x
1658434043656,-0.03,-0.03,-0.03,-2.37,-4.6,-8.39,-5.81,-4.39,0.39,x
1658434043673,0.11,-0.07,-0.16,-2.24,-4.62,-8.52,-4.52,-5.01,2.68,x
1658434043690,0.03,-0.08,0,-2.33,-4.62,-8.36,-4.56,-4.73,2.45,x
1658434043706,-0.12,-0.15,0.06,-2.49,-4.68,-8.31,-4.44,-2.64,1.36,x
1658434043722,-0.02,-0.03,-0.04,-2.4,-4.56,-8.41,-3.03,-1.95,0.17,x
1658434043740,0.2,0.01,-0.04,-2.19,-4.5,-8.41,-0.61,-1.33,1.5,x
1658434043756,0.15,-0.05,0.01,-2.24,-4.57,-8.36,-0.58,-0.18,2.07,x
1658434043773,0.06,-0.06,0.21,-2.33,-4.58,-8.16,-2.02,0.82,1.93,x
1658434043790,0.2,-0.02,0.19,-2.19,-4.52,-8.19,-3.29,0.51,3.34,x
1658434043806,0.23,0,0.13,-2.17,-4.49,-8.25,-2.94,-1.29,5.02,x
1658434043823,0.04,0,0.1,-2.37,-4.48,-8.29,-2.88,-2.52,4.12,x
1658434043840,-0.12,0.03,0.15,-2.53,-4.44,-8.24,-3.81,-1.53,2.53,x
1658434043856,-0.12,0,0.15,-2.54,-4.46,-8.24,-3.84,0.14,1.99,x
1658434043873,-0.09,0.03,0.05,-2.51,-4.42,-8.35,-3.34,1.26,2,x
1658434043890,-0.02,0.09,0.01,-2.44,-4.36,-8.4,-3.28,0.78,1.83,x
1658434043906,-0.06,0.07,-0.01,-2.48,-4.37,-8.42,-2.58,0.72,1.08,x
1658434043923,-0.06,0.08,-0.07,-2.48,-4.35,-8.48,-2.36,0.46,1.35,x
1658434043940,-0.09,0.02,-0.02,-2.52,-4.4,-8.44,-2.38,-0.93,0.67,x
1658434043956,-0.17,-0.01,-0.08,-2.6,-4.43,-8.5,-1.38,-0.77,-0.51,x
1658434043973,-0.12,0.03,-0.15,-2.54,-4.39,-8.56,0.15,-0.19,-0.94,x
1658434043990,-0.05,-0.02,-0.08,-2.48,-4.44,-8.49,0.93,-0.67,-0.95,x
1658434044005,-0.02,0.01,-0.04,-2.45,-4.41,-8.45,0.68,-1.08,-1.27,x
1658434044023,0.03,0,0.01,-2.4,-4.42,-8.4,0.52,-0.92,-1.24,x
1658434044040,0.08,-0.01,-0.09,-2.35,-4.44,-8.5,1.56,-0.47,-0.22,x
1658434044056,0.13,-0.02,-0.03,-2.3,-4.45,-8.44,1.48,-1.21,0.02,x
1658434044073,0,-0.08,0.03,-2.44,-4.51,-8.37,0.99,-1.57,-0.26,x
1658434044090,-0.03,-0.05,0,-2.47,-4.48,-8.4,1.46,-0.95,-0.76,x
1658434044106,0.03,-0.01,0,-2.41,-4.45,-8.4,1.91,-1.11,-0.18,x
1658434044123,0.11,0.05,0.07,-2.33,-4.39,-8.33,1.51,-1.53,0.37,x
1658434044140,-0.01,0.05,0.14,-2.45,-4.39,-8.25,0.38,-1.76,0.17,x
1658434044156,-0.04,0.06,0.15,-2.5,-4.39,-8.24,-0.42,-1.98,-0.22,x
1658434044173,-0.12,0.01,0.13,-2.57,-4.43,-8.26,-0.61,-0.71,-0.83,x
1658434044190,-0.09,0.05,0.02,-2.54,-4.39,-8.37,0.28,-0.26,-0.99,x
1658434044206,-0.12,0.04,0.01,-2.57,-4.41,-8.38,0.79,-0.62,-1.94,x
1658434044223,-0.09,0.06,0.06,-2.54,-4.39,-8.32,1.03,-1.45,-2.59,x
1658434044240,-0.02,0.06,0.1,-2.47,-4.4,-8.29,0.5,-0.61,-2.74,x
1658434044256,0.04,0.06,0.12,-2.4,-4.4,-8.27,0.3,0.34,-1.92,x
1658434044273,0.1,0.01,0.11,-2.34,-4.45,-8.28,0.16,0.64,-1,x
1658434044290,0.12,0.02,0.16,-2.32,-4.44,-8.22,-1.52,0.19,1.26,x
1658434044306,0.11,-0.03,0.19,-2.34,-4.48,-8.19,-2.15,-1.02,-0.47,x
1658434044323,0.04,0.02,0.04,-2.41,-4.43,-8.35,-1.85,-0.78,-0.16,x
1658434044340,0.01,-0.13,0.02,-2.44,-4.57,-8.37,-0.77,0.04,-0.58,x
1658434044356,0.05,-0.04,0.02,-2.4,-4.48,-8.38,-0.81,1.27,-0.15,x
1658434044373,0.12,-0.01,0.06,-2.32,-4.46,-8.34,-1.2,0.25,0.8,x
1658434044390,0.05,0,0.06,-2.4,-4.44,-8.34,-2,-0.54,0.33,x
1658434044406,0.01,-0.03,0,-2.44,-4.47,-8.4,-1.1,0.51,0.65,x
1658434044423,0.07,-0.04,-0.09,-2.38,-4.47,-8.49,0.26,-0.38,1.67,x
1658434044440,-0.09,-0.05,-0.01,-2.54,-4.48,-8.4,0.31,-0.5,0.15,x
1658434044456,-0.12,0,0.04,-2.57,-4.43,-8.35,0.24,1.09,-0.63,x
1658434044473,0.06,0.06,0.06,-2.39,-4.38,-8.34,-0.09,-0.1,1.57,x
1658434044490,0.08,0.04,0.16,-2.38,-4.39,-8.24,-1.31,-1.28,1.47,x
1658434044506,0.02,0.05,0.13,-2.43,-4.38,-8.27,-1.13,-0.18,0.43,x
1658434044523,-0.05,0.02,-0.05,-2.5,-4.4,-8.45,0.34,2.28,0.8,x
1658434044540,-0.02,-0.02,0.01,-2.47,-4.45,-8.39,0.14,0.83,0.61,x
1658434044556,-0.01,-0.02,0,-2.46,-4.45,-8.4,-0.22,-0.76,0.16,x
1658434044573,-0.03,0.01,-0.01,-2.48,-4.41,-8.41,-0.01,-0.26,-0.18,x
1658434044590,0.02,-0.01,-0.12,-2.43,-4.43,-8.52,1.22,0.64,0.49,x
1658434044606,0.09,0.01,-0.12,-2.36,-4.42,-8.52,2.05,0.13,1.41,x
1658434044623,-0.07,0.02,0.02,-2.53,-4.42,-8.38,1.11,-0.61,0.15,x
1658434044640,-0.14,0.03,0.05,-2.6,-4.4,-8.34,0.83,-1.07,-1,x
1658434044656,-0.13,0.01,0.05,-2.59,-4.42,-8.34,0.92,-0.4,-1.6,x
1658434044673,-0.03,0.07,0.03,-2.49,-4.37,-8.36,1.29,-0.61,-0.99,x
1658434044690,0.01,0.04,0.1,-2.44,-4.4,-8.29,1.18,-0.62,-1.23,x
1658434044706,0,0.06,0.15,-2.46,-4.39,-8.24,0.97,0.36,-1.16,x
1658434044723,0.11,0.04,0.2,-2.34,-4.41,-8.19,0.17,-0.13,0.18,x
1658434044740,0.09,0,0.25,-2.37,-4.45,-8.14,-0.77,0.18,0.07,x
1658434044756,0.1,0.02,0.22,-2.36,-4.43,-8.17,-1.4,1.44,0.02,x
1658434044773,0.05,-0.03,0.16,-2.4,-4.47,-8.23,-2.08,1.11,1.33,x
1658434044790,-0.02,-0.05,0.13,-2.47,-4.48,-8.26,-2.73,0.61,0.65,x
1658434044806,-0.04,-0.04,0.04,-2.49,-4.47,-8.35,-1.99,1.15,-0.02,x
1658434044823,-0.04,0.04,-0.05,-2.48,-4.38,-8.45,-0.82,1.32,-0.14,x
1658434044839,-0.03,0.02,0.03,-2.47,-4.4,-8.37,-1.12,0.61,-0.43,x
1658434044856,0.01,0.02,0.04,-2.43,-4.4,-8.36,-1.37,1.03,-0.5,x
1658434044873,0.03,-0.03,0.01,-2.4,-4.45,-8.4,-0.93,0.65,0.23,x
1658434044890,0.06,-0.07,0,-2.38,-4.49,-8.41,-0.43,0.25,0.42,x
1658434044906,0.09,-0.03,0.02,-2.35,-4.44,-8.39,-0.72,1,0.41,x
1658434044923,-0.01,-0.05,0.04,-2.44,-4.47,-8.37,-1.06,1.17,0.29,x
1658434044940,0.09,-0.01,-0.01,-2.34,-4.42,-8.42,-0.7,0.61,1.01,x
1658434044956,0.12,-0.01,-0.04,-2.31,-4.42,-8.45,-0.13,0.06,1.51,x
1658434044973,0.01,-0.01,0.03,-2.42,-4.42,-8.39,-0.26,1.19,1.3,x
1658434044990,0,-0.02,0.07,-2.43,-4.42,-8.35,-0.45,1.05,1.1,x
1658434045006,0.01,-0.02,0.06,-2.42,-4.43,-8.36,-0.09,0.7,1.21,x
1658434045023,0.03,-0.01,0.04,-2.4,-4.42,-8.38,-0.03,0.33,1.2,x
1658434045040,0.02,0,0.09,-2.41,-4.4,-8.32,-0.39,-0.02,1.31,x
1658434045056,0,0,0.14,-2.43,-4.4,-8.28,-1.2,0.47,1.03,x
1658434045073,0.02,0.04,0.15,-2.41,-4.36,-8.28,-1.78,0.85,1.62,x
1658434045090,0.03,0.03,0.09,-2.4,-4.36,-8.34,-0.81,0.73,1.9,x
1658434045106,0.03,0.06,0.09,-2.4,-4.33,-8.34,-0.83,1.37,1.65,x
1658434045123,-0.09,0.05,0.17,-2.52,-4.33,-8.25,-2.35,1.37,0.62,x
1658434045140,-0.08,0.05,0.18,-2.51,-4.33,-8.25,-2.84,0.94,-0.25,x
1658434045156,-0.04,0.07,0.09,-2.47,-4.3,-8.34,-2.37,1.72,0.17,x
1658434045173,0.01,0.07,0.02,-2.41,-4.3,-8.43,-1.85,1.33,0.41,x
1658434045190,-0.1,0.03,0.06,-2.52,-4.33,-8.39,-2.39,1.13,-0.06,x
1658434045206,-0.12,0.02,0.06,-2.54,-4.33,-8.39,-2.71,0.85,-1.12,x
1658434045223,-0.08,0.01,-0.02,-2.49,-4.34,-8.47,-2.04,1.16,-1.34,x
1658434045240,0.03,0.02,-0.1,-2.38,-4.33,-8.56,-1.13,1.4,-0.64,x
1658434045256,0.06,0,-0.08,-2.34,-4.35,-8.54,-0.55,0.65,-0.51,x
1658434045273,0,-0.02,-0.02,-2.41,-4.37,-8.48,-0.81,0.08,-0.48,x
1658434045290,0,-0.05,-0.04,-2.4,-4.39,-8.5,-0.53,0.55,-0.82,x
1658434045306,0.04,-0.05,-0.05,-2.36,-4.39,-8.51,0.29,1.01,0.12,x
1658434045323,0.11,-0.05,-0.03,-2.29,-4.39,-8.49,0.47,0.27,0.51,x
1658434045340,0.03,-0.04,0.04,-2.37,-4.38,-8.42,0.03,-0.02,0.15,x
1658434045356,0.02,-0.03,0.06,-2.38,-4.37,-8.4,-0.19,0.05,0.44,x
1658434045373,0.04,0,0.09,-2.35,-4.34,-8.37,-0.61,0.25,0.75,x
1658434045390,0.02,0,0.1,-2.38,-4.34,-8.36,-0.77,0.56,0.8,x
1658434045406,0.01,0,0.1,-2.39,-4.34,-8.37,-0.83,0.8,0.79,x
1658434045423,0,0.03,0.06,-2.4,-4.3,-8.41,-0.77,0.43,0.7,x
1658434045440,-0.04,0.05,0.04,-2.43,-4.28,-8.43,-0.43,0.25,0.24,x
1658434045456,-0.02,0.06,0.03,-2.41,-4.27,-8.43,-0.16,0.71,-0.07,x
1658434045473,-0.01,0.03,0.05,-2.41,-4.3,-8.41,-0.15,1.41,0.02,x
1658434045490,-0.03,0.03,0.09,-2.42,-4.3,-8.38,-0.91,0.8,0.17,x
1658434045506,-0.08,0.02,0.1,-2.47,-4.31,-8.37,-1.5,-0.02,-0.66,x
1658434045523,-0.03,0,0.01,-2.42,-4.33,-8.46,-0.87,0.37,-0.34,x
1658434045540,0.06,0,-0.06,-2.33,-4.32,-8.53,0.06,0.29,0.11,x
1658434045556,0,-0.01,-0.07,-2.39,-4.33,-8.54,0.25,0.63,-0.36,x
1658434045573,-0.01,0.02,-0.04,-2.4,-4.31,-8.52,0.55,0.38,-0.27,x
1658434045590,-0.01,-0.05,-0.01,-2.39,-4.38,-8.48,0.47,-0.13,-0.36,x
1658434045606,0.01,-0.01,-0.03,-2.38,-4.34,-8.5,0.65,-0.49,-0.35,x
1658434045623,0.04,-0.01,0,-2.35,-4.34,-8.47,0.83,-0.39,-0.42,x
1658434045640,0,-0.01,0.05,-2.39,-4.34,-8.42,0.84,-0.3,-0.78,x
1658434045656,0.01,0.01,0.05,-2.37,-4.32,-8.41,0.71,-0.28,-0.55,x
1658434045673,0.11,0.01,0.08,-2.28,-4.32,-8.38,0.36,0.24,0.85,x
1658434045690,0.06,-0.01,0.08,-2.33,-4.35,-8.39,-0.12,0.01,0.95,x
1658434045706,0,-0.02,0.08,-2.38,-4.35,-8.39,-0.2,-0.31,0.35,x
1658434045723,-0.03,0.01,0.04,-2.42,-4.32,-8.42,-0.1,-0.57,0.07,x
1658434045740,-0.07,0,0.01,-2.46,-4.34,-8.45,-0.14,-0.24,-0.46,x
1658434045756,-0.02,0.03,-0.01,-2.41,-4.31,-8.48,0.5,-0.28,-0.39,x
1658434045773,0,0.03,-0.01,-2.39,-4.3,-8.47,0.92,-0.08,-0.12,x
1658434045790,0,0.03,0.03,-2.38,-4.31,-8.43,1.12,-0.22,-0.27,x
1658434045806,0,0.03,0.07,-2.39,-4.32,-8.39,0.5,-0.96,-0.12,x
1658434045823,-0.04,-0.02,0.09,-2.43,-4.36,-8.37,-0.05,-0.49,-0.4,x
1658434045839,0.02,0.01,0.04,-2.37,-4.34,-8.42,0.36,-0.15,-0.19,x
1658434045856,0,-0.01,0.03,-2.39,-4.35,-8.43,0.86,0.12,-0.08,x
1658434045873,0.03,0.04,0.05,-2.36,-4.31,-8.41,0.66,0.01,-0.41,x
1658434045890,-0.01,0,0.13,-2.4,-4.35,-8.33,-0.05,-0.38,-0.34,x
1658434045905,0.03,0.02,0.12,-2.36,-4.32,-8.34,-0.63,-0.06,-0.2,x
1658434045923,0.06,-0.01,0.05,-2.33,-4.35,-8.41,-0.15,0.32,0.27,x
1658434045940,0.02,0,-0.02,-2.37,-4.35,-8.48,0.78,0.46,0.08,x
1658434045956,0.01,0.02,-0.03,-2.38,-4.33,-8.49,0.55,0,0.37,x
1658434045973,-0.01,-0.04,0.06,-2.4,-4.39,-8.4,-0.05,-0.79,0.27,x
1658434045990,-0.03,-0.01,0.03,-2.42,-4.36,-8.42,0.32,0.29,0.23,x
1658434046006,-0.03,0,0.02,-2.42,-4.35,-8.44,0.99,0.9,0.05,x
1658434046023,0,0.02,0.05,-2.39,-4.33,-8.41,1.11,0,-0.18,x
1658434046040,0.02,0.09,0.15,-2.37,-4.27,-8.31,0.28,0.16,-0.14,x
1658434046056,0.03,0.05,0.15,-2.36,-4.31,-8.3,-0.59,0.4,0.08,x
1658434046073,-0.03,-0.01,0.09,-2.42,-4.36,-8.36,-0.75,0.8,-0.33,x
1658434046090,-0.03,0.02,0.01,-2.42,-4.34,-8.45,-0.23,1.06,-0.33,x
1658434046105,-0.01,0,0,-2.39,-4.36,-8.45,0,0.17,-0.13,x
1658434046123,-0.08,0.03,0.09,-2.46,-4.32,-8.37,-1.06,0.67,-1.51,x
1658434046140,0.03,0.06,0.01,-2.35,-4.29,-8.45,-0.65,1.09,-0.57,x
1658434046156,0.12,0.04,-0.01,-2.26,-4.31,-8.47,-0.05,-0.24,0.3,x
1658434046173,0.04,0,0.01,-2.34,-4.35,-8.45,0.39,-0.4,-0.33,x
1658434046190,-0.09,0,0.04,-2.47,-4.35,-8.43,0.37,0.59,-1.38,x
1658434046206,-0.12,-0.02,0.06,-2.5,-4.37,-8.4,0.12,0.88,-1.47,x
1658434046222,0.12,0,0.09,-2.25,-4.35,-8.37,-0.03,-0.3,0.01,x
1658434046240,0.08,0.01,0.05,-2.29,-4.34,-8.41,-0.16,-0.46,-0.01,x
1658434046256,0.03,-0.01,0.1,-2.34,-4.36,-8.36,-0.48,0.34,-0.47,x
1658434046272,0.04,0,0.08,-2.33,-4.35,-8.38,-0.25,1.07,0.2,x
1658434046289,0.05,0.01,0.09,-2.32,-4.34,-8.38,-0.78,0.56,0.73,x
1658434046306,0.04,0.03,0.11,-2.33,-4.32,-8.36,-0.95,-0.05,0.67,x
1658434046323,-0.05,0.02,0.04,-2.41,-4.33,-8.43,-1.09,0.9,0.02,x
1658434046340,-0.1,0.01,0.01,-2.47,-4.34,-8.46,-0.73,0.57,-0.5,x
1658434046356,-0.08,0,0,-2.45,-4.34,-8.47,-0.52,0.06,-0.76,x
1658434046373,-0.03,0.03,-0.02,-2.39,-4.31,-8.49,-0.04,-0.11,-0.75,x
1658434046390,-0.02,0.01,0.01,-2.39,-4.33,-8.46,0.1,0.24,-1.08,x
1658434046406,-0.01,0.03,0.02,-2.37,-4.31,-8.45,0.16,0.03,-0.73,x
1658434046423,0.05,0,0.06,-2.31,-4.35,-8.41,-0.02,0.15,-0.24,x
1658434046440,0.03,-0.01,0.1,-2.33,-4.35,-8.37,-0.49,0.46,-0.25,x
1658434046456,0.01,-0.01,0.06,-2.34,-4.35,-8.41,-0.4,0.51,-0.26,x
1658434046472,0.02,-0.01,0.05,-2.34,-4.35,-8.42,-0.65,-0.09,-0.38,x
1658434046490,-0.01,0.01,0.05,-2.37,-4.33,-8.42,-0.66,-0.45,-0.53,x
1658434046506,0.03,0.01,0.05,-2.33,-4.33,-8.43,-0.2,0.18,-0.12,x
1658434046523,0.04,0.02,0.03,-2.31,-4.32,-8.45,0.06,1.19,0.38,x
1658434046540,0.04,0.01,0.06,-2.31,-4.33,-8.41,-0.1,0.92,0.18,x
1658434046556,0.03,-0.01,0.06,-2.32,-4.35,-8.42,-0.51,0.13,0.21,x
1658434046573,0,-0.02,0.06,-2.35,-4.35,-8.41,-0.84,-0.22,0.09,x
1658434046590,-0.03,0.01,0.02,-2.38,-4.32,-8.46,-0.67,0.33,-0.06,x
1658434046606,-0.06,0,0,-2.41,-4.33,-8.48,-0.35,0.74,-0.41,x
1658434046623,0.03,0.04,-0.02,-2.32,-4.3,-8.5,0.47,-0.05,0.25,x
1658434046640,0.01,0.04,0.01,-2.34,-4.3,-8.47,0.27,-0.43,-0.09,x
1658434046656,-0.07,0.01,0.03,-2.42,-4.33,-8.45,0.3,-0.3,-0.99,x
1658434046673,-0.08,0.02,0.04,-2.43,-4.32,-8.43,0.52,0.15,-1.24,x
1658434046690,0.01,0,0.05,-2.34,-4.34,-8.42,0.56,0.38,-1.08,x
1658434046706,0.02,0,0.09,-2.33,-4.35,-8.38,-0.12,0.37,-0.82,x
1658434046723,0.03,0.01,0.1,-2.31,-4.33,-8.38,-0.4,-0.11,-0.62,x
1658434046740,0.01,0.01,0.06,-2.33,-4.33,-8.42,-0.38,-0.09,-0.69,x
1658434046756,0.01,0,0.08,-2.33,-4.34,-8.4,-0.53,0.57,-0.63,x
1658434046773,0.05,-0.03,0.06,-2.29,-4.36,-8.42,-0.65,-0.27,-0.15,x
1658434046790,0.03,0.01,0.05,-2.32,-4.33,-8.43,-0.58,-0.36,-0.23,x
1658434046807,0.03,0.01,0.02,-2.31,-4.33,-8.46,-0.46,-0.04,-0.23,x
1658434046823,-0.01,0,0.01,-2.35,-4.34,-8.47,-0.14,0.44,-1.04,x
1658434046840,-0.08,-0.01,0.06,-2.42,-4.34,-8.42,-0.45,0.06,-1.51,x
1658434046856,-0.08,-0.01,0.08,-2.42,-4.35,-8.4,-0.61,-0.11,-1.62,x
1658434046873,0.04,0.02,-0.01,-2.3,-4.31,-8.49,0.6,0.18,-0.46,x
1658434046890,0.07,0.03,-0.02,-2.26,-4.31,-8.5,1.2,0.06,0.22,x
1658434046907,0.01,0.03,0.03,-2.33,-4.31,-8.44,0.78,-0.23,-0.38,x
1658434046923,-0.05,0.02,0.13,-2.38,-4.32,-8.35,-0.3,-0.05,-1.13,x
1658434046940,0.01,0,0.07,-2.32,-4.34,-8.41,0.18,-0.22,-0.66,x
