time,sensor_alpha[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1652785640388.1,3.1,,41.3,7.6,x
1652785640405.9,3.6,,41.5,7.9,x
1652785640420.7,3.9,,41.6,8,x
1652785640438,4.5,,41.8,8.2,x
1652785640454.1,5.2,,42.2,8.2,x
1652785640472.6,5.8,,42.8,8.4,x
1652785640488,6.1,,43.1,8.5,x
1652785640504.8,6.5,,43.9,8.9,x
1652785640522.9,7,,44.8,9.1,x
1652785640538.6,7.2,,45.2,9.2,x
1652785640554.8,7.8,,45.8,9.1,x
1652785640571.7,8.5,,46.2,8.6,x
1652785640589.6,9.6,,46,7.6,x
1652785640604.7,10.1,,45.8,7.1,x
1652785640620.7,10.9,,45.1,6.7,x
1652785640638.7,11.2,,44.7,7.3,x
1652785640654.8,11.1,,44.7,7.8,x
1652785640672,10.9,,45.1,9,x
1652785640687.4,10.8,,45.6,10.1,x
1652785640705.8,11.2,,46.1,10.7,x
1652785640721.4,11.6,,46.2,10.7,x
1652785640737.4,12.6,,46.5,10.4,x
1652785640755.6,13.8,,46.6,9.9,x
1652785640771.4,14.4,,46.6,9.6,x
1652785640787.4,15.5,,46.5,9.3,x
1652785640804,16.3,,46.5,9.3,x
1652785640821.9,16.5,,46.5,9.5,x
1652785640838,17,,46.7,9.9,x
1652785640854.1,17.5,,47.1,10.3,x
1652785640872.3,18.2,,47.5,10.2,x
1652785640887.3,18.6,,47.7,10,x
1652785640904.7,19.5,,48,9.6,x
1652785640920.7,20.3,,48.2,9.3,x
1652785640939.5,20.7,,48.3,9.1,x
1652785640954.8,21.7,,48.5,8.7,x
1652785640970.7,22.9,,48.7,8,x
1652785640988.2,23.9,,48.9,7.2,x
1652785641004.7,24.2,,48.9,6.9,x
1652785641021.3,24.7,,49.1,6.6,x
1652785641056.1,24.8,,49.1,6.9,x
1652785641071.9,24.7,,49.1,7.5,x
1652785641088,24.5,,49.4,8.1,x
1652785641104.1,24.6,,50,8.4,x
1652785641129,24.9,,50.6,8.3,x
1652785641137.4,25.2,,50.9,8,x
1652785641154.1,25.8,,51.1,7.3,x
1652785641172.4,26,,51.2,7.3,x
1652785641188,25.9,,51.1,7.6,x
1652785641204.7,25.2,,50.9,8.7,x
1652785641221.8,24.7,,50.5,9.9,x
1652785641238,24.3,,50.2,10.5,x
1652785641254.8,23.8,,49.6,11.7,x
1652785641270.8,23.4,,48.8,13,x
1652785641288.6,23.4,,48.3,13.7,x
1652785641304.8,23.8,,47.5,15,x
1652785641321.4,24.9,,46.9,15.7,x
1652785641337.4,26.4,,46.4,15.6,x
1652785641356.2,27.9,,46,15.2,x
1652785641372,28.6,,45.9,15.1,x
1652785641387.4,29.8,,46,15.1,x
1652785641404.1,30.3,,46.1,15.3,x
1652785641421.9,31,,46.4,15.9,x
1652785641437.7,31.8,,46.6,16.7,x
1652785641454,32.2,,46.6,17.1,x
1652785641471.4,33.4,,46.6,17.6,x
1652785641488.1,34.7,,46.5,18,x
1652785641505.1,36.1,,46.5,18.1,x
1652785641521.9,37.6,,46.4,18.1,x
1652785641538,38.3,,46.3,18.2,x
1652785641554.7,39.9,,46.2,18.3,x
1652785641570.7,41.2,,46.2,18.5,x
1652785641588.1,41.7,,46.3,18.6,x
1652785641604.7,42.6,,46.3,19,x
1652785641620.6,43.6,,46.2,19.4,x
1652785641638.9,44.6,,45.9,19.5,x
1652785641655.3,45.2,,45.8,19.5,x
1652785641671.4,46.5,,45.6,19.2,x
1652785641687.4,47.2,,45.5,19,x
1652785641704.7,48.6,,45.5,18.5,x
1652785641721.4,50.1,,45.7,17.9,x
1652785641738.2,51.6,,45.9,17.4,x
1652785641756.2,53.1,,46.1,16.9,x
1652785641771.3,53.9,,46.2,16.8,x
1652785641788,55.6,,46.4,16.6,x
1652785641804.1,56.4,,46.5,16.6,x
1652785641821.3,58,,46.9,16.6,x
1652785641838,59.5,,47.3,16.5,x
1652785641854,61.2,,47.5,16,x
1652785641872,62.8,,47.3,15.8,x
1652785641888,63.5,,47.1,15.9,x
1652785641904.7,65,,46.8,16.3,x
1652785641921.8,66.3,,46.9,16.6,x
1652785641937.9,66.9,,47,16.8,x
1652785641954.7,67.9,,47.4,17.3,x
1652785641970.7,68.9,,47.7,18,x
1652785641988.2,70.1,,47.9,18.8,x
1652785642003.8,71,,47.8,19.1,x
1652785642020.5,72.9,,47.3,18.8,x
1652785642037.2,74.6,,47.1,18.3,x
1652785642060.3,75.9,,47.4,17.8,
